Batch,Sample Type,Inject Order,Sample Name
Batch-A,Sample,131,GB002548
Batch-A,Sample,132,GB003188
Batch-A,Sample,133,GB002596
Batch-A,Sample,134,GB002781
Batch-A,QC,135,A-QC012
Batch-A,Sample,136,GB002570
Batch-A,Sample,137,GB002924
Batch-A,Sample,138,GB002949
Batch-A,Sample,139,GB003073
Batch-A,Sample,140,GB003176
Batch-A,Sample,141,GB002957
Batch-A,Sample,142,GB002604
Batch-A,Sample,143,GB002876
Batch-A,Sample,144,GB002710
Batch-A,Sample,145,GB002659
Batch-A,QC,146,A-QC013
Batch-A,Sample,147,GB002941
Batch-A,Sample,148,GB003093
Batch-A,Sample,149,GB002766
Batch-A,Sample,150,GB003041
Batch-A,Sample,151,GB003074
Batch-A,Sample,152,GB002563
Batch-A,Sample,153,GB002984
Batch-A,Sample,154,GB003178
Batch-A,Sample,155,GB002760
Batch-A,Sample,156,GB002724
Batch-A,QC,157,A-QC014
Batch-A,Sample,158,GB002740
Batch-A,Sample,159,GB002836
Batch-A,Sample,160,GB002796
Batch-A,Sample,161,GB002756
Batch-A,Sample,162,GB003174
Batch-A,Sample,163,GB002572
Batch-A,Sample,164,GB002600
Batch-A,Sample,165,GB002608
Batch-A,Sample,166,GB003103
Batch-A,Sample,167,GB002792
Batch-A,QC,168,A-QC015
Batch-A,Sample,169,GB002593
Batch-A,Sample,170,GB002674
Batch-A,Sample,171,GB002529
Batch-A,Sample,172,GB002645
Batch-A,Sample,173,GB003173
Batch-A,Sample,174,GB002531
Batch-A,Sample,175,GB002992
Batch-A,Sample,176,GB003078
Batch-A,Sample,177,GB002638
Batch-A,Sample,178,GB002800
Batch-A,QC,179,A-QC016
Batch-A,Sample,180,GB002571
Batch-A,Sample,181,GB002655
Batch-A,Sample,182,GB003225
Batch-A,Sample,183,GB003961
Batch-A,Sample,184,GB003943
Batch-A,Sample,185,GB003722
Batch-A,Sample,186,GB003957
Batch-A,Sample,187,GB003660
Batch-A,Sample,188,GB003266
Batch-A,QC,189,A-QC017
Batch-A,Sample,190,GB003383
Batch-A,Sample,191,GB003492
Batch-A,Sample,192,GB003598
Batch-A,Sample,193,GB003604
Batch-A,Sample,194,GB003621
Batch-A,Sample,195,GB003236
Batch-A,Sample,196,GB003949
Batch-A,Sample,197,GB003353
Batch-A,Sample,198,GB003899
Batch-A,Sample,199,GB003922
Batch-A,QC,200,A-QC018
Batch-A,Sample,201,GB003373
Batch-A,Sample,202,GB003370
Batch-A,Sample,203,GB003389
Batch-A,Sample,204,GB003309
Batch-A,Sample,205,GB003788
Batch-A,Sample,206,GB003191
Batch-A,Sample,207,GB003411
Batch-A,Sample,208,GB003252
Batch-A,Sample,209,GB003498
Batch-A,QC,210,A-QC019
Batch-A,Sample,211,GB003277
Batch-A,Sample,212,GB003475
Batch-A,Sample,213,GB003531
Batch-A,Sample,214,GB003301
Batch-A,Sample,215,GB003222
Batch-A,Sample,216,GB003683
Batch-A,Sample,217,GB003845
Batch-A,Sample,218,GB003262
Batch-A,Sample,219,GB003984
Batch-A,QC,220,A-QC020
Batch-A,Sample,222,GB003205
Batch-A,Sample,223,GB003445
Batch-A,Sample,224,GB003897
Batch-A,Sample,225,GB003999
Batch-A,Sample,226,GB003686
Batch-A,Sample,227,GB003959
Batch-A,Sample,228,GB003861
Batch-A,Sample,229,GB003589
Batch-A,Sample,230,GB003588
Batch-A,QC,231,A-QC021
Batch-A,Sample,232,GB003730
Batch-A,Sample,233,GB003911
Batch-A,Sample,234,GB003344
Batch-A,Sample,235,GB003975
Batch-A,Sample,236,GB003930
Batch-A,Sample,237,GB003239
Batch-A,Sample,238,GB004064
Batch-A,Sample,239,GB004042
Batch-A,Sample,240,GB004071
Batch-A,Sample,241,GB004194
Batch-A,QC,242,A-QC022
Batch-A,Sample,243,GB004277
Batch-A,Sample,244,GB004142
Batch-A,Sample,245,GB004231
Batch-A,Sample,246,GB004025
Batch-A,Sample,247,GB004078
Batch-A,Sample,248,GB004172
Batch-A,Sample,249,GB004144
Batch-A,Sample,250,GB004228
Batch-A,Sample,251,GB004203
Batch-A,Sample,252,GB004020
Batch-A,QC,253,A-QC023
Batch-A,Sample,254,GB004248
Batch-A,Sample,255,GB004224
Batch-A,Sample,256,GB004180
Batch-A,Sample,257,GB004211
Batch-A,Sample,258,GB004222
Batch-A,Sample,259,GB004166
Batch-A,Sample,260,GB004245
Batch-A,Sample,261,GB004209
Batch-A,Sample,262,GB004163
Batch-A,QC,263,A-QC024
Batch-A,Sample,264,GB004119
Batch-A,Sample,265,GB004130
Batch-A,Sample,266,GB004214
Batch-A,Sample,267,GB004225
Batch-A,Sample,268,GB004249
Batch-A,Sample,269,GB004189
Batch-A,Sample,270,GB004164
Batch-A,Sample,271,GB004268
Batch-A,Sample,272,GB004258
Batch-A,QC,273,A-QC025
Batch-A,Sample,274,GB004221
Batch-A,Sample,275,GB004100
Batch-A,Sample,276,GB004182
Batch-A,Sample,277,GB004183
Batch-A,Sample,278,GB004274
Batch-A,Sample,279,GB004262
Batch-A,Sample,280,GB004254
Batch-A,Sample,281,GB004264
Batch-A,Sample,282,GB004179
Batch-A,Sample,283,GB004213
Batch-A,QC,284,A-QC026
Batch-A,Sample,285,GB004200
Batch-A,Sample,286,GB004276
Batch-A,Sample,287,GB004155
Batch-A,Sample,288,GB004246
Batch-A,Sample,289,GB004186
Batch-A,Sample,290,GB004212
Batch-A,Sample,291,GB004233
Batch-A,Sample,292,GB004260
Batch-A,Sample,293,GB004207
Batch-A,Sample,294,GB004027
Batch-A,QC,295,A-QC027
Batch-A,Sample,296,GB004337
Batch-A,Sample,297,GB004372
Batch-A,Sample,298,GB004285
Batch-A,Sample,299,GB004333
Batch-A,Sample,300,GB004377
Batch-A,Sample,301,GB004343
Batch-A,Sample,302,GB004362
Batch-A,Sample,303,GB004297
Batch-A,Sample,304,GB004286
Batch-A,Sample,305,GB004345
Batch-A,QC,306,A-QC028
Batch-A,Sample,307,GB004353
Batch-A,Sample,308,GB004339
Batch-A,Sample,309,GB004370
Batch-A,Sample,310,GB004323
Batch-A,Sample,311,GB004347
Batch-A,Sample,312,GB004349
Batch-A,Sample,313,GB004357
Batch-A,Sample,314,GB004287
Batch-A,Sample,315,GB004331
Batch-A,Sample,316,GB004327
Batch-A,QC,317,A-QC029
Batch-A,Sample,318,GB004303
Batch-A,Sample,319,GB004350
Batch-A,Sample,320,GB004344
Batch-A,Sample,321,GB004308
Batch-A,Sample,322,GB004367
Batch-A,Sample,323,GB004334
Batch-A,Sample,324,GB004288
Batch-A,Sample,325,GB004376
Batch-A,Sample,326,GB004368
Batch-A,QC,327,A-QC030
Batch-A,Sample,328,GB003415
Batch-A,Sample,329,GB003691
Batch-A,Sample,330,GB003504
Batch-A,Sample,331,GB003742
Batch-A,Sample,332,GB004197
Batch-A,Sample,333,GB004171
Batch-A,Sample,334,GB004332
Batch-A,QC,335,A-QC031
Batch-B,QC,336,B-QC000
Batch-B,Sample,338,GB004487
Batch-B,Sample,339,GB004446
Batch-B,Sample,340,GB004419
Batch-B,Sample,341,GB004542
Batch-B,Sample,342,GB004513
Batch-B,Sample,343,GB004466
Batch-B,Sample,344,GB004481
Batch-B,Sample,345,GB004454
Batch-B,Sample,346,GB004525
Batch-B,Sample,347,GB004512
Batch-B,QC,348,B-QC001
Batch-B,Sample,349,GB004471
Batch-B,Sample,350,GB004478
Batch-B,Sample,351,GB004450
Batch-B,Sample,352,GB004486
Batch-B,Sample,353,GB004438
Batch-B,Sample,354,GB004420
Batch-B,Sample,355,GB004428
Batch-B,Sample,356,GB004405
Batch-B,Sample,357,GB004378
Batch-B,Sample,358,GB004495
Batch-B,QC,359,B-QC002
Batch-B,Sample,360,GB004417
Batch-B,Sample,361,GB004502
Batch-B,Sample,362,GB004423
Batch-B,Sample,363,GB004509
Batch-B,Sample,364,GB004498
Batch-B,Sample,365,GB004531
Batch-B,Sample,366,GB004418
Batch-B,Sample,367,GB004490
Batch-B,Sample,368,GB004468
Batch-B,Sample,369,GB004394
Batch-B,QC,370,B-QC003
Batch-B,Sample,371,GB004443
Batch-B,Sample,372,GB004407
Batch-B,Sample,373,GB004465
Batch-B,Sample,374,GB004410
Batch-B,Sample,375,GB004532
Batch-B,Sample,376,GB004467
Batch-B,Sample,377,GB004501
Batch-B,Sample,378,GB004390
Batch-B,Sample,379,GB004499
Batch-B,Sample,380,GB004389
Batch-B,QC,381,B-QC004
Batch-B,Sample,382,GB004484
Batch-B,Sample,383,GB004433
Batch-B,Sample,384,GB004458
Batch-B,Sample,385,GB004483
Batch-B,Sample,386,GB004432
Batch-B,Sample,387,GB004523
Batch-B,Sample,388,GB004537
Batch-B,Sample,389,GB004521
Batch-B,Sample,390,GB004436
Batch-B,Sample,391,GB004379
Batch-B,QC,392,B-QC005
Batch-B,Sample,393,GB004508
Batch-B,Sample,394,GB004544
Batch-B,Sample,395,GB004496
Batch-B,Sample,396,GB004456
Batch-B,Sample,397,GB004710
Batch-B,Sample,398,GB004617
Batch-B,Sample,399,GB004605
Batch-B,Sample,400,GB004583
Batch-B,Sample,401,GB004616
Batch-B,Sample,402,GB004552
Batch-B,QC,403,B-QC006
Batch-B,Sample,404,GB004628
Batch-B,Sample,405,GB004658
Batch-B,Sample,406,GB004559
Batch-B,Sample,407,GB004667
Batch-B,Sample,408,GB004623
Batch-B,Sample,409,GB004675
Batch-B,Sample,410,GB004568
Batch-B,Sample,411,GB004574
Batch-B,Sample,412,GB004696
Batch-B,Sample,413,GB004569
Batch-B,QC,414,B-QC007
Batch-B,Sample,415,GB004611
Batch-B,Sample,416,GB004670
Batch-B,Sample,417,GB004709
Batch-B,Sample,418,GB004684
Batch-B,Sample,419,GB004649
Batch-B,Sample,420,GB004714
Batch-B,Sample,421,GB004595
Batch-B,Sample,422,GB004546
Batch-B,Sample,423,GB004557
Batch-B,Sample,424,GB004594
Batch-B,QC,425,B-QC008
Batch-B,Sample,426,GB004645
Batch-B,Sample,427,GB004625
Batch-B,Sample,428,GB004575
Batch-B,Sample,429,GB004556
Batch-B,Sample,430,GB004624
Batch-B,Sample,431,GB004615
Batch-B,Sample,432,GB004580
Batch-B,Sample,433,GB004688
Batch-B,Sample,434,GB004564
Batch-B,Sample,435,GB004711
Batch-B,QC,436,B-QC009
Batch-B,Sample,437,GB004715
Batch-B,Sample,438,GB004560
Batch-B,Sample,439,GB004705
Batch-B,Sample,440,GB004712
Batch-B,Sample,441,GB004619
Batch-B,Sample,442,GB004631
Batch-B,Sample,443,GB004629
Batch-B,Sample,444,GB004701
Batch-B,Sample,445,GB004634
Batch-B,Sample,446,GB004676
Batch-B,QC,447,B-QC010
Batch-B,Sample,449,GB004577
Batch-B,Sample,450,GB004601
Batch-B,Sample,451,GB004603
Batch-B,Sample,452,GB004668
Batch-B,Sample,453,GB004665
Batch-B,Sample,454,GB004672
Batch-B,Sample,455,GB004695
Batch-B,Sample,456,GB004662
Batch-B,Sample,457,GB004744
Batch-B,Sample,458,GB004838
Batch-B,QC,459,B-QC011
Batch-B,Sample,460,GB004843
Batch-B,Sample,461,GB004846
Batch-B,Sample,462,GB004824
Batch-B,Sample,463,GB004742
Batch-B,Sample,464,GB004796
Batch-B,Sample,465,GB004809
Batch-B,Sample,466,GB004728
Batch-B,Sample,467,GB004855
Batch-B,Sample,468,GB004749
Batch-B,Sample,469,GB004780
Batch-B,QC,470,B-QC012
Batch-B,Sample,471,GB004733
Batch-B,Sample,472,GB004812
Batch-B,Sample,473,GB004820
Batch-B,Sample,474,GB004828
Batch-B,Sample,475,GB004851
Batch-B,Sample,476,GB004821
Batch-B,Sample,477,GB004753
Batch-B,Sample,478,GB004802
Batch-B,Sample,479,GB004767
Batch-B,Sample,480,GB004760
Batch-B,QC,481,B-QC013
Batch-B,Sample,482,GB004817
Batch-B,Sample,483,GB004839
Batch-B,Sample,484,GB004775
Batch-B,Sample,485,GB004827
Batch-B,Sample,486,GB004831
Batch-B,Sample,487,GB004732
Batch-B,Sample,488,GB004825
Batch-B,Sample,489,GB004854
Batch-B,Sample,490,GB004772
Batch-B,Sample,491,GB004769
Batch-B,QC,492,B-QC014
Batch-B,Sample,493,GB004770
Batch-B,Sample,494,GB004800
Batch-B,Sample,495,GB004793
Batch-B,Sample,496,GB004771
Batch-B,Sample,497,GB004848
Batch-B,Sample,498,GB004736
Batch-B,Sample,499,GB004750
Batch-B,Sample,500,GB004754
Batch-B,Sample,501,GB004841
Batch-B,Sample,502,GB004787
Batch-B,QC,503,B-QC015
Batch-B,Sample,504,GB004748
Batch-B,Sample,505,GB004762
Batch-B,Sample,506,GB004720
Batch-B,Sample,507,GB004758
Batch-B,Sample,508,GB004847
Batch-B,Sample,509,GB004727
Batch-B,Sample,510,GB004826
Batch-B,Sample,511,GB004835
Batch-B,Sample,512,GB004755
Batch-B,Sample,513,GB004795
Batch-B,QC,514,B-QC016
Batch-B,Sample,515,GB004734
Batch-B,Sample,516,GB004759
Batch-B,Sample,517,GB004870
Batch-B,Sample,518,GB004989
Batch-B,Sample,519,GB004981
Batch-B,Sample,520,GB004948
Batch-B,Sample,521,GB004986
Batch-B,Sample,522,GB004943
Batch-B,Sample,523,GB004885
Batch-B,Sample,524,GB004915
Batch-B,QC,525,B-QC017
Batch-B,Sample,526,GB004901
Batch-B,Sample,527,GB004923
Batch-B,Sample,528,GB004939
Batch-B,Sample,529,GB004940
Batch-B,Sample,530,GB004942
Batch-B,Sample,531,GB004876
Batch-B,Sample,532,GB004983
Batch-B,Sample,533,GB004967
Batch-B,Sample,534,GB004979
Batch-B,QC,535,B-QC018
Batch-B,Sample,536,GB004900
Batch-B,Sample,537,GB004899
Batch-B,Sample,538,GB004902
Batch-B,Sample,539,GB004888
Batch-B,Sample,540,GB004953
Batch-B,Sample,541,GB004857
Batch-B,Sample,542,GB004904
Batch-B,Sample,543,GB004882
Batch-B,Sample,544,GB004928
Batch-B,Sample,545,GB004947
Batch-B,QC,546,B-QC019
Batch-B,Sample,547,GB004886
Batch-B,Sample,548,GB004929
Batch-B,Sample,549,GB004918
Batch-B,Sample,550,GB004932
Batch-B,Sample,551,GB004887
Batch-B,Sample,552,GB004867
Batch-B,Sample,553,GB004944
Batch-B,Sample,554,GB004883
Batch-B,Sample,555,GB005000
Batch-B,QC,556,B-QC020
Batch-B,Sample,558,GB004860
Batch-B,Sample,559,GB004916
Batch-B,Sample,560,GB004966
Batch-B,Sample,561,GB005001
Batch-B,Sample,562,GB004946
Batch-B,Sample,563,GB004987
Batch-B,Sample,564,GB004965
Batch-B,Sample,565,GB004938
Batch-B,Sample,566,GB004935
Batch-B,Sample,567,GB004952
Batch-B,QC,568,B-QC021
Batch-B,Sample,569,GB004949
Batch-B,Sample,570,GB004970
Batch-B,Sample,571,GB004891
Batch-B,Sample,572,GB004990
Batch-B,Sample,573,GB004980
Batch-B,Sample,574,GB004877
Batch-B,Sample,575,GB005023
Batch-B,Sample,576,GB005019
Batch-B,Sample,577,GB005024
Batch-B,Sample,578,GB005117
Batch-B,QC,579,B-QC022
Batch-B,Sample,580,GB005207
Batch-B,Sample,581,GB005057
Batch-B,Sample,582,GB005163
Batch-B,Sample,583,GB005010
Batch-B,Sample,584,GB005028
Batch-B,Sample,585,GB005082
Batch-B,Sample,586,GB005062
Batch-B,Sample,587,GB005161
Batch-B,Sample,588,GB005131
Batch-B,Sample,589,GB005004
Batch-B,QC,590,B-QC023
Batch-B,Sample,591,GB005180
Batch-B,Sample,592,GB005157
Batch-B,Sample,593,GB005089
Batch-B,Sample,594,GB005126
Batch-B,Sample,595,GB005142
Batch-B,Sample,596,GB005155
Batch-B,Sample,597,GB005071
Batch-B,Sample,598,GB005176
Batch-B,Sample,599,GB005141
Batch-B,Sample,600,GB005066
Batch-B,QC,601,B-QC024
Batch-B,Sample,602,GB005049
Batch-B,Sample,603,GB005072
Batch-B,Sample,604,GB005050
Batch-B,Sample,605,GB005152
Batch-B,Sample,606,GB005160
Batch-B,Sample,607,GB005181
Batch-B,Sample,608,GB005111
Batch-B,Sample,609,GB005067
Batch-B,Sample,610,GB005199
Batch-B,Sample,611,GB005188
Batch-B,QC,612,B-QC025
Batch-B,Sample,613,GB005153
Batch-B,Sample,614,GB005041
Batch-B,Sample,615,GB005103
Batch-B,Sample,616,GB005109
Batch-B,Sample,617,GB005202
Batch-B,Sample,618,GB005191
Batch-B,Sample,619,GB005184
Batch-B,Sample,620,GB005194
Batch-B,Sample,621,GB005087
Batch-B,Sample,622,GB005148
Batch-B,QC,623,B-QC026
Batch-B,Sample,624,GB005127
Batch-B,Sample,625,GB005203
Batch-B,Sample,626,GB005065
Batch-B,Sample,627,GB005177
Batch-B,Sample,628,GB005110
Batch-B,Sample,629,GB005144
Batch-B,Sample,630,GB005164
Batch-B,Sample,631,GB005189
Batch-B,Sample,632,GB005139
Batch-B,Sample,633,GB005017
Batch-B,QC,634,B-QC027
Batch-B,Sample,635,GB005265
Batch-B,Sample,636,GB005313
Batch-B,Sample,637,GB005213
Batch-B,Sample,638,GB005261
Batch-B,Sample,639,GB005320
Batch-B,Sample,640,GB005271
Batch-B,Sample,641,GB005304
Batch-B,Sample,642,GB005219
Batch-B,Sample,643,GB005214
Batch-B,Sample,644,GB005278
Batch-B,QC,645,B-QC028
Batch-B,Sample,646,GB005297
Batch-B,Sample,647,GB005269
Batch-B,Sample,648,GB005309
Batch-B,Sample,649,GB005254
Batch-B,Sample,650,GB005285
Batch-B,Sample,651,GB005289
Batch-B,Sample,652,GB005298
Batch-B,Sample,653,GB005216
Batch-B,Sample,654,GB005259
Batch-B,Sample,655,GB005256
Batch-B,QC,656,B-QC029
Batch-B,Sample,657,GB005227
Batch-B,Sample,658,GB005295
Batch-B,Sample,659,GB005273
Batch-B,Sample,660,GB005243
Batch-B,Sample,661,GB005260
Batch-B,Sample,662,GB005306
Batch-B,Sample,663,GB005263
Batch-B,Sample,664,GB005217
Batch-B,Sample,665,GB005314
Batch-B,Sample,666,GB005307
Batch-B,QC,667,B-QC030
Batch-B,QC,668,B-QC031
Batch-B,Sample,669,GB004897
Batch-B,Sample,670,GB004961
Batch-B,QC,671,B-QC032
Batch-C,QC,672,C-QC000
Batch-C,Sample,674,GB005324
Batch-C,Sample,675,GB005329
Batch-C,Sample,676,GB005331
Batch-C,Sample,677,GB005333
Batch-C,Sample,678,GB005335
Batch-C,Sample,679,GB005338
Batch-C,Sample,680,GB005340
Batch-C,Sample,681,GB005341
Batch-C,Sample,682,GB005344
Batch-C,Sample,683,GB005345
Batch-C,QC,684,C-QC001
Batch-C,Sample,685,GB005348
Batch-C,Sample,686,GB005352
Batch-C,Sample,687,GB005354
Batch-C,Sample,688,GB005361
Batch-C,Sample,689,GB005362
Batch-C,Sample,690,GB005363
Batch-C,Sample,691,GB005367
Batch-C,Sample,692,GB005370
Batch-C,Sample,693,GB005376
Batch-C,Sample,694,GB005384
Batch-C,QC,695,C-QC002
Batch-C,Sample,696,GB005385
Batch-C,Sample,697,GB005390
Batch-C,Sample,698,GB005392
Batch-C,Sample,699,GB005394
Batch-C,Sample,700,GB005396
Batch-C,Sample,701,GB005406
Batch-C,Sample,702,GB005409
Batch-C,Sample,703,GB005411
Batch-C,Sample,704,GB005412
Batch-C,QC,705,C-QC003
Batch-C,Sample,706,GB005414
Batch-C,Sample,707,GB005417
Batch-C,Sample,708,GB005426
Batch-C,Sample,709,GB005427
Batch-C,Sample,710,GB005436
Batch-C,Sample,711,GB005441
Batch-C,Sample,712,GB005443
Batch-C,Sample,713,GB005449
Batch-C,Sample,714,GB005453
Batch-C,QC,715,C-QC004
Batch-C,Sample,716,GB005454
Batch-C,Sample,717,GB005455
Batch-C,Sample,718,GB005458
Batch-C,Sample,719,GB005463
Batch-C,Sample,720,GB005472
Batch-C,Sample,721,GB005482
Batch-C,Sample,722,GB005493
Batch-C,Sample,723,GB005495
Batch-C,Sample,724,GB005497
Batch-C,Sample,725,GB005498
Batch-C,QC,726,C-QC005
Batch-C,Sample,727,GB005504
Batch-C,Sample,728,GB005508
Batch-C,Sample,729,GB005514
Batch-C,Sample,730,GB005516
Batch-C,Sample,731,GB005518
Batch-C,Sample,732,GB005526
Batch-C,Sample,733,GB005528
Batch-C,Sample,734,GB005530
Batch-C,Sample,735,GB005533
Batch-C,Sample,736,GB005534
Batch-C,QC,737,C-QC006
Batch-C,Sample,738,GB005535
Batch-C,Sample,739,GB005540
Batch-C,Sample,740,GB005541
Batch-C,Sample,741,GB005542
Batch-C,Sample,742,GB005545
Batch-C,Sample,743,GB005549
Batch-C,Sample,744,GB005554
Batch-C,Sample,745,GB005560
Batch-C,Sample,746,GB005563
Batch-C,Sample,747,GB005568
Batch-C,QC,748,C-QC007
Batch-C,Sample,749,GB005574
Batch-C,Sample,750,GB005580
Batch-C,Sample,751,GB005581
Batch-C,Sample,752,GB005588
Batch-C,Sample,753,GB005594
Batch-C,Sample,754,GB005600
Batch-C,Sample,755,GB005602
Batch-C,Sample,756,GB005603
Batch-C,Sample,757,GB005604
Batch-C,Sample,758,GB005607
Batch-C,QC,759,C-QC008
Batch-C,Sample,760,GB005608
Batch-C,Sample,761,GB005609
Batch-C,Sample,762,GB005611
Batch-C,Sample,763,GB005613
Batch-C,Sample,764,GB005618
Batch-C,Sample,765,GB005622
Batch-C,Sample,766,GB005625
Batch-C,Sample,767,GB005627
Batch-C,Sample,768,GB005628
Batch-C,Sample,769,GB005633
Batch-C,QC,770,C-QC009
Batch-C,Sample,771,GB005635
Batch-C,Sample,772,GB005638
Batch-C,Sample,773,GB005641
Batch-C,Sample,774,GB005642
Batch-C,Sample,775,GB005645
Batch-C,Sample,776,GB005646
Batch-C,Sample,777,GB005647
Batch-C,Sample,778,GB005649
Batch-C,Sample,779,GB005653
Batch-C,Sample,780,GB005655
Batch-C,QC,781,C-QC010
Batch-C,Sample,783,GB005660
Batch-C,Sample,784,GB005661
Batch-C,Sample,785,GB005670
Batch-C,Sample,786,GB005676
Batch-C,Sample,787,GB005686
Batch-C,Sample,788,GB005690
Batch-C,Sample,789,GB005691
Batch-C,Sample,790,GB005694
Batch-C,Sample,791,GB005696
Batch-C,Sample,792,GB005697
Batch-C,QC,793,C-QC011
Batch-C,Sample,794,GB005703
Batch-C,Sample,795,GB005707
Batch-C,Sample,796,GB005713
Batch-C,Sample,797,GB005717
Batch-C,Sample,798,GB005720
Batch-C,Sample,799,GB005721
Batch-C,Sample,800,GB005722
Batch-C,Sample,801,GB005726
Batch-C,Sample,802,GB005735
Batch-C,Sample,803,GB005736
Batch-C,QC,804,C-QC012
Batch-C,Sample,805,GB005746
Batch-C,Sample,806,GB005750
Batch-C,Sample,807,GB005751
Batch-C,Sample,808,GB005756
Batch-C,Sample,809,GB005761
Batch-C,Sample,810,GB005768
Batch-C,Sample,811,GB005770
Batch-C,Sample,812,GB005773
Batch-C,Sample,813,GB005774
Batch-C,Sample,814,GB005775
Batch-C,QC,815,C-QC013
Batch-C,Sample,816,GB005777
Batch-C,Sample,817,GB005780
Batch-C,Sample,818,GB005781
Batch-C,Sample,819,GB005783
Batch-C,Sample,820,GB005788
Batch-C,Sample,821,GB005790
Batch-C,Sample,822,GB005791
Batch-C,Sample,823,GB005798
Batch-C,Sample,824,GB005805
Batch-C,Sample,825,GB005808
Batch-C,QC,826,C-QC014
Batch-C,Sample,827,GB005812
Batch-C,Sample,828,GB005819
